file_name,Start time,End time,End Depth mMD,Main - Sub Activity,State,Remark,Depth mMD,Depth mTVD,Sub Equip - Syst Class,Operation Downtime (min),Equipment Repaired
15_9_19_A_1997_07_26.pdf,0:30,06:0,50,driling - trip,ok,MU BAKER WINDOWMASTER WHIPSTOCK + MILING ASEMBLY & ASOCIATED BHA. CONTINUE TIH WITH DP.,,,,,
15_9_19_A_1997_07_26.pdf,06:0,10:0,21,driling - trip,ok,"CONTINUED TIH WITH WINDOWMASTER WHIPSTOCK & MILING ASEMBLY. TAGED 9 5/8"" BRIDGE-PLUG AT 21 M DPM.",,,,,
15_9_19_A_1997_07_26.pdf,10:0,12:0,21,driling - dril,ok,ORIENTED WHIPSTOCK USING MWD. SET ANCHOR ON WHIPSTOCK.,,,,,
15_9_19_A_1997_07_26.pdf,12:0,18:0,207,driling - dril,ok,"CUT WINDOW IN 9 5/8"" CASING USING WHIPSTOCK. TOP OF WINDOW = 202 M MD - BOTOM OF WINDOW = 207 M MD. PUMPED 5 M3 HI-VIS PIL WHILE MILING AT 205 M.",,,,,
15_9_19_A_1997_07_26.pdf,18:0,21:0,213,driling - dril,ok,DRILED/MILED NEW FORMATION FROM 207 - 213 M. PUMPED 5 M3 HI-VIS PIL WHILE DRILING AT 208 M.,,,,,
15_9_19_A_1997_07_26.pdf,21:0,23:0,213,driling - dril,ok,"REAMED WINDOW. AFTER APROXIMATELY 20 TIMES, STIL UNABLE TO GO DOWN THROUGH WINDOW WITHOUT ROTATING - BASED ON USING MAXIMUM OF 12 M T WEIGHT. REAMED 5 ADITIONAL TIMES - NOW ABLE TO SLACK-OF & PICK-UP THROUGH WINDOW WITHOUT HAVING TO ROTATE STRING.",,,,,
15_9_19_A_1997_07_26.pdf,23:0,0:0,2196,driling - circulat ing conditioning,ok,PUMPED 10 M3 HI-VIS PIL & CIRCULATED HOLE CLEAN AT 200 LPM.,,,,,
15_9_19_A_1997_07_27.pdf,0:0,0:30,2196,driling - cir culating con ditioning,ok,COMPLETED CIRCULATING HOLE CLEAN. FLUSHED CHOKE & KIL LINES.,,,,,
15_9_19_A_1997_07_27.pdf,0:30,03:0,110,driling - trip,ok,"FLOW CHECKED, PUMPED SLUG & POH TO PU DRILING BHA.",,,,,
15_9_19_A_1997_07_27.pdf,03:0,04:0,110,interuption - maintain,fail,BURST HYDRAULIC HOSE ON UPER RACKING ARM - REPAIRED SAME.,,,,,
15_9_19_A_1997_07_27.pdf,04:0,06:0,0,driling - trip,ok,CONTINUED TO POH WITH MILING ASEMBLY.,,,,,
15_9_19_A_1997_07_27.pdf,06:0,06:30,0,driling - trip,ok,COMPLETED LD MILING ASEMBLY.,,,,,
15_9_19_A_1997_07_27.pdf,06:30,09:0,173,driling - trip,ok,MU DRILING BHA; MOTOR TESTED OK.,,,,,
15_9_19_A_1997_07_27.pdf,09:0,10:0,80,driling - trip,ok,TIH WITH BHA TO 80 M.,,,,,
15_9_19_A_1997_07_27.pdf,10:0,10:30,80,interuption - maintain,fail,ATEMPTED TO PERFORM WEKLY BOP FUNCTION TEST USING YELOW POD. NO FUNCTION OF EITHER ANULAR POSIBLE.,,,,,
15_9_19_A_1997_07_27.pdf,10:30,13:0,2193,driling - trip,ok,CONTINUED TO TIH TO 2193 M WHILE PULING YELOW POD.,,,,,
15_9_19_A_1997_07_27.pdf,13:0,17:0,2193,interuption - maintain,fail,FOUND CRIMPED PILOT LINE IN POD HOSE. CHANGED PILOT LINE FOR ANULARS' REGULATOR. RERAN YELOW POD & LATCHED-UP.,,,,,
15_9_19_A_1997_07_27.pdf,17:0,17:30,2193,driling - bo p activities,ok,FUNCTION TESTED BOPS USING YELOW POD - FROM RIG FLOR PANEL.,,,,,
15_9_19_A_1997_07_27.pdf,17:30,18:30,213,interuption - fish,fail,"ORIENTED BIT/MOTOR & SLACKED-OF THROUGH WINDOW.REAMED F/208-212M. STARTED DRILING-SP INCREASED 35BAR&TDS STALED Ø1630NM.FRED STUCK STRING USING 32 MT O/PUL-TORQUE STIL TRAPED IN STRING.WHILE PULING PAST 207M W/BIT,SP INCREASED AGAIN.FRED BIT PAST 207M USING 5 MT O/PUL L.THEN ABLE TO RELEASE TORQUE IN STRING ONCE ABOVE 202M.",,,,,
15_9_19_A_1997_07_27.pdf,18:30,19:30,202,driling - dril l,fail,"ATEMPTED SEVERAL TIMES TO PAS THROUGH WINDOW - UNABLE TO GO BELOW 202 M - TOP OF WINDOW IN 9 5/8"" CASING.",,,,,
15_9_19_A_1997_07_27.pdf,19:30,0:0,0,driling - trip,fail,"FLOW CHECKED, PUMPED SLUG & POH WITH DRILING BHA. BIT WAS DAMAGED - 6 OUT OF 9 BLADES ON BIT WERE DAMAGED/BROKEN. NO OTHER DAMAGE TO BHA COMPONENTS NOTED.",,,,,
15_9_19_A_1997_07_28.pdf,0:0,06:0,202,driling - trip,ok,MU MILING BHA & TIH TO WHIPSTOCK.,,,,,
15_9_19_A_1997_07_28.pdf,06:0,09:0,205,driling - dril,fail,MILED FROM 202-205 M. DECREASE IN ROP - NOT MAKING ANY PROGRES IN MILING THROUGH WINDOW.,,,,,
15_9_19_A_1997_07_28.pdf,09:0,13:30,0,driling - trip,fail,"FLOWCHECKED, PUMPED SLUG & POH WITH MILING BHA.",,,,,
15_9_19_A_1997_07_28.pdf,13:30,18:30,2187,driling - trip,ok,"TIH TO 2187 M WITH 9 5/8"" BRIDGE PLUG ON DP.",,,,,
15_9_19_A_1997_07_28.pdf,18:30,19:30,2187,driling - other,ok,SET BRIDGE PLUG AT 2187 M L.A.T. CONFIRMED SETING BY SLACKING-OF 10 MT DOWN ON PLUG.,,,,,
15_9_19_A_1997_07_28.pdf,19:30,20:30,2187,driling - circulating conditioning,ok,PUMPED 10 M3 HI-VIS PIL & CIRCULATED OUT.,,,,,
15_9_19_A_1997_07_28.pdf,20:30,0:0,0,driling - trip,ok,"FLOWCHECKED, PUMPED SLUG & POH WITH EZSV M.S.T.",,,,,
15_9_19_A_1997_07_29.pdf,0:0,06:0,60,driling - trip,ok,MU BAKER WINDOWMASTER WHIPSTOCK ASEMBLY. TIH WITH BHA ON DP.,,,,,
15_9_19_A_1997_07_29.pdf,06:0,10:0,2170,driling - trip,ok,COMPLETED TIH WITH WHIPSTOCK TO 2170 M.,,,,,
15_9_19_A_1997_07_29.pdf,10:0,1:0,2170,interuption - sidetra ck,fail,ATEMPTED TO CIRCULATE; STRING PLUGED. RU & REVERSE CIRCULATED 1 DRILSTRING VOLUME & UNPLUGED STRING.,,,,,
15_9_19_A_1997_07_29.pdf,1:0,12:30,2187,interuption - sidetra ck,ok,ORIENTED WHIPSTOCK USING MWD. SET ANCHOR ON WHIPSTOCK.,,,,,
15_9_19_A_1997_07_29.pdf,12:30,21:0,2183,interuption - sidetra ck,ok,"CUT WINDOW IN 9 5/8"" CASING USING WHIPSTOCK. TOP OF WINDOW = 2178 M; BOTOM OF WINDOW = 2183 M. FLOW RATE = APROX. 100 L PM AT 74 BAR.",,,,,
15_9_19_A_1997_07_29.pdf,21:0,0:0,2198,interuption - sidetra ck,ok,DRILED/MILED NEW FORMATION FROM 2183 - 2198M. FLOW RATE = 150 LPM AT 125 BAR.,,,,,
15_9_19_A_1997_07_30.pdf,0:0,01:0,202,interuption - sidetrack,ok,FINISHED DRILING TO 202 M - TOTAL OF 19 M OF FORMATION DRILED BEYOND WINDOW'S BOTOM. PU & SO THROUGH WINDOW 5 TIMES - N O PROBLEMS.,,,,,
15_9_19_A_1997_07_30.pdf,01:0,02:30,2175,driling - circulating cond itioning,ok,PU ABOVE TOP OF WINDOW & PUMPED 5 M3 HI-VIS PIL. CIRCULATED HOLE CLEAN AT 200 LPM AT 195 BAR. FLUSHED CHOKE & KIL LINES & B OSTED RISER.,,,,,
15_9_19_A_1997_07_30.pdf,02:30,06:0,10,driling - trip,ok,POH TO MU DRILING BHA.,,,,,
15_9_19_A_1997_07_30.pdf,06:0,07:0,0,driling - trip,ok,FINISHED HANDLING WHIPSTOCK/MILING BHA.,,,,,
15_9_19_A_1997_07_30.pdf,07:0,10:30,430,driling - trip,ok,"MU DRILING BHA & TIH TO 430 M WITH NEW 8 1/2"" PDC BIT.",,,,,
15_9_19_A_1997_07_30.pdf,10:30,1:30,430,driling - other,ok,S/C DRILINE.,,,,,
15_9_19_A_1997_07_30.pdf,1:30,12:30,430,interuption - maintain,fail,ELECTRICAL PROBLEM WITH TOP DRIVE SYSTEM; REPAIRED SAME.,,,,,
15_9_19_A_1997_07_30.pdf,12:30,16:30,2161,driling - trip,ok,CONTINUED TO TIH TO 2161 M.,,,,,
15_9_19_A_1997_07_30.pdf,16:30,17:0,2161,driling - trip,ok,ORIENTED TOL-FACE.,,,,,
15_9_19_A_1997_07_30.pdf,17:0,17:30,2190,driling - trip,ok,RIH SLOWLY-NO ROTATION OR CIRCULATION-FROM 2161 - 2190 M. WINDOW IN CASING FROM 2178 - 2183 M. MADE CHECK TRIP TO 2175 M; NO P ROBLEMS PASING THROUGH WINDOW.,,,,,
15_9_19_A_1997_07_30.pdf,17:30,18:0,202,driling - trip,ok,BROKE CIRCULATION. WASHED DOWN FROM 2190 - 202 M / TD.,,,,,
15_9_19_A_1997_07_30.pdf,18:0,0:0,231,driling - dril,ok,"DRILED/ORIENTED 8 1/2"" HOLE FROM 202 - 231 M.",,,,,
15_9_19_A_1997_07_31.pdf,0:0,06:0,2405,driling - dril,ok,"DRILED/ORIENTED 8 1/2"" HOLE FROM 231 - 2405 M .",,,,,
15_9_19_A_1997_07_31.pdf,06:0,19:0,2653,driling - dril,ok,"DRILED/ORIENTED 8 1/2"" HOLE FROM 2405-2653 M.",,,,,
15_9_19_A_1997_07_31.pdf,19:0,20:0,2653,driling - circulating conditioning,ok,CIRCULATED TO CLEAN HOLE.,,,,,
15_9_19_A_1997_07_31.pdf,20:0,0:0,271,driling - dril,ok,"DRILED/ORIENTED 8 1/2"" HOLE FROM 2653 - 271 M .",,,,,
15_9_19_A_1997_08_01.pdf,0:0,06:0,2768,driling - dril,ok,"DRILED/ORIENTED 8 1/2"" HOLE FROM 271 - 2768 M. HAD PROBLEMS TURNING WELPATH TO THE RIGHT.",,,,,
15_9_19_A_1997_08_01.pdf,06:0,07:0,2768,driling - circulating conditioning,ok,CIRCULATED HOLE CLEAN IN PREPARATION FOR TRIP OUT.,,,,,
