file_name,Start time,End time,End Depth mMD,Main - Sub Activity,State,Remark,Depth mMD,Depth mTVD,Sub Equip - Syst Class,Operation Downtime (min),Equipment Repaired,NER_Entities,Hybrid_Activity,Top_Keywords_TFIDF
15_9_19_A_1997_07_26.pdf,0:30,06:0,50.0,driling - trip,ok,MU BAKER WINDOWMASTER WHIPSTOCK + MILING ASEMBLY & ASOCIATED BHA. CONTINUE TIH WITH DP.,,,,,,"{""Depths"": [], ""Measurements"": [], ""Time"": [], ""Equipment"": [""whipstock""]}",TRIPPING,"window, miling, m3 hi, vis pil, hi vis"
15_9_19_A_1997_07_26.pdf,06:0,10:0,21.0,driling - trip,ok,"CONTINUED TIH WITH WINDOWMASTER WHIPSTOCK & MILING ASEMBLY. TAGED 9 5/8"" BRIDGE-PLUG AT 21 M DPM.",,,,,,"{""Depths"": [""21 m""], ""Measurements"": [], ""Time"": [], ""Equipment"": [""whipstock""]}",TRIPPING,"window, miling, m3 hi, vis pil, hi vis"
15_9_19_A_1997_07_26.pdf,10:0,12:0,21.0,driling - dril,ok,ORIENTED WHIPSTOCK USING MWD. SET ANCHOR ON WHIPSTOCK.,,,,,,"{""Depths"": [], ""Measurements"": [], ""Time"": [], ""Equipment"": [""whipstock""]}",OTHER,"window, miling, m3 hi, vis pil, hi vis"
15_9_19_A_1997_07_26.pdf,12:0,18:0,207.0,driling - dril,ok,"CUT WINDOW IN 9 5/8"" CASING USING WHIPSTOCK. TOP OF WINDOW = 202 M MD - BOTOM OF WINDOW = 207 M MD. PUMPED 5 M3 HI-VIS PIL WHILE MILING AT 205 M.",,,,,,"{""Depths"": [""207 m"", ""202 m"", ""205 m""], ""Measurements"": [], ""Time"": [], ""Equipment"": [""whipstock"", ""casing""]}",CIRCULATION,"window, miling, m3 hi, vis pil, hi vis"
15_9_19_A_1997_07_26.pdf,18:0,21:0,213.0,driling - dril,ok,DRILED/MILED NEW FORMATION FROM 207 - 213 M. PUMPED 5 M3 HI-VIS PIL WHILE DRILING AT 208 M.,,,,,,"{""Depths"": [""208 m"", ""213 m""], ""Measurements"": [], ""Time"": [], ""Equipment"": []}",CIRCULATION,"window, miling, m3 hi, vis pil, hi vis"
15_9_19_A_1997_07_26.pdf,21:0,23:0,213.0,driling - dril,ok,"REAMED WINDOW. AFTER APROXIMATELY 20 TIMES, STIL UNABLE TO GO DOWN THROUGH WINDOW WITHOUT ROTATING - BASED ON USING MAXIMUM OF 12 M T WEIGHT. REAMED 5 ADITIONAL TIMES - NOW ABLE TO SLACK-OF & PICK-UP THROUGH WINDOW WITHOUT HAVING TO ROTATE STRING.",,,,,,"{""Depths"": [""12 m""], ""Measurements"": [], ""Time"": [], ""Equipment"": []}",OTHER,"window, miling, m3 hi, vis pil, hi vis"
15_9_19_A_1997_07_26.pdf,23:0,0:0,2196.0,driling - circulat ing conditioning,ok,PUMPED 10 M3 HI-VIS PIL & CIRCULATED HOLE CLEAN AT 200 LPM.,,,,,,"{""Depths"": [], ""Measurements"": [""200 lpm""], ""Time"": [], ""Equipment"": []}",CIRCULATION,"window, miling, m3 hi, vis pil, hi vis"
15_9_19_A_1997_07_27.pdf,0:0,0:30,2196.0,driling - cir culating con ditioning,ok,COMPLETED CIRCULATING HOLE CLEAN. FLUSHED CHOKE & KIL LINES.,,,,,,"{""Depths"": [], ""Measurements"": [], ""Time"": [], ""Equipment"": []}",CIRCULATION,"pod, yelow, yelow pod, bit, window"
15_9_19_A_1997_07_27.pdf,0:30,03:0,110.0,driling - trip,ok,"FLOW CHECKED, PUMPED SLUG & POH TO PU DRILING BHA.",,,,,,"{""Depths"": [], ""Measurements"": [], ""Time"": [], ""Equipment"": []}",TRIPPING,"pod, yelow, yelow pod, bit, window"
15_9_19_A_1997_07_27.pdf,03:0,04:0,110.0,interuption - maintain,fail,BURST HYDRAULIC HOSE ON UPER RACKING ARM - REPAIRED SAME.,,,,,,"{""Depths"": [], ""Measurements"": [], ""Time"": [], ""Equipment"": []}",MAINTENANCE_REPAIR,"pod, yelow, yelow pod, bit, window"
