Well,NDS_Event,Rank,Matched_File,Ensemble_Score,Semantic_Score,BM25_Score,Keyword_Score,Numeric_Score,Matched_Remark
15/9-F-10,inclination angle was higher than expected. Reduced inclination to to 0.16 deg,1,15_9_F_10_2009_05_14.pdf,0.8543,0.4016,17.8933,5.7652,0.0,"Took survey at 3442 mMD, TD of section. Survey depth: 3426,62 mMD/ 2652,73 mTVD. Inc 85,4dgr - Az 121,89 dgr. Compared to plan: 3,8 m left/ 1,0 m high."
15/9-F-10,inclination angle was higher than expected. Reduced inclination to to 0.16 deg,2,15_9_F_10_2009_04_12.pdf,0.8535,0.2583,22.9201,5.7652,1.0,"Reamed interval 222-246 m MD in order to reduce inclination. Parameters : Flow 3500 lpm / SPP 95 bar / 140 RPM / Torque 2-4 kNm. Pumped 2 x 10 m3 hivis pills. Reduced iclinatio n from 0,53 deg to 0,16 deg."
15/9-F-10,inclination angle was higher than expected. Reduced inclination to to 0.16 deg,3,15_9_F_10_2009_04_08.pdf,0.7834,0.2628,23.3791,5.7652,0.0,"Drilled 36"" hole from 165 m to 207 m (17 1/2"" bit depth). 90-100 RPM, 5 ton WOB, 4000-4450 lpm, 3,7 kNm, ROP 5-20 m/hr. Pumped HIVIS pills as per progra m. Took survey at 170 m: Inclination 0,27 deg. Took survey at 180 m: Inclination 0,17 deg. Took survey at 190 m: Inclination 0,21 deg. Took survey at 206 m: Inclination 0,15 deg."
15/9-F-11,tight hole event was ecountered while drilling interval at 958 m,1,15_9_F_11_T2_2013_04_02.pdf,0.7669,0.531,8.5214,6.6179,0.0,"Pulled out of hole with 26"" bottom hole assembly from 1365m MD to 460m MD. Observed tight hole at 460m MD. Attempted to get past restriction with maximum 30MT overpull - no go."
15/9-F-11,tight hole event was ecountered while drilling interval at 958 m,2,15_9_F_11_B_2016_09_21.pdf,0.7148,0.5093,13.6813,0.0,0.0,Correlated BHA across interval 3030 - 3092 m . Set plug with mid packer element at 3083 m . Lost 300 lbs of weight after setting sequence was complete. Tagged plug
15/9-F-11,tight hole event was ecountered while drilling interval at 958 m,3,15_9_F_11_T2_2013_03_26.pdf,0.6979,0.4621,7.8938,6.6179,0.0,"Prepared POOH from bottom at 453 m. Installed grease pump in crown block. Oriented 26"" steering BHA. Displaced well to 1.35 sg KCl mud, 10 - 3100 l/min, 8 - 70 bar. Confirmed barrier ed off rig floor and cantelever. POOH from 454 m, recorded overpull of 30 tons. Broke circulation 650 l/min, 10 bar, 40 RPM, 15 kNm. POOH up through tight spot from 454 to 438 m. Stand of 5 1/2"" DP mistakenly released from elevators while still connected in rotary."
15/9-F-12,"Excessive clay amount ccumulation is observed in BHA while POOH 26"""" BHA",1,15_9_F_12_2007_07_12.pdf,0.8452,0.527,48.1965,15.7811,0.0,"Held tool box meeting, racked back BHA in derrick. Stabilizers covered with clay."
15/9-F-12,"Excessive clay amount ccumulation is observed in BHA while POOH 26"""" BHA",2,15_9_F_12_2007_06_23.pdf,0.7936,0.5555,46.2073,0.0,1.0,"Continued POOH with 26"" HO BHA and racked back same."
15/9-F-12,"Excessive clay amount ccumulation is observed in BHA while POOH 26"""" BHA",3,15_9_F_12_2007_07_16.pdf,0.7902,0.6228,37.4993,0.0,1.0,"Continued L/O remaining 26"" BHA."
15/9-F-13,"while RIH with 20"" casing there was a differential stuck. The mud was replaced to seawater and 300 m3 of seawater was pumped, Set down weight was increased and string came free",1,15_9_F_10_2009_04_18.pdf,0.8851,0.6227,40.4657,14.542,0.4,"Attempted to RIH with 20"" casing / 18 3/4"" WH - negative. Worked to free pipe with alternating up/down weights, 50 MT set down / 60 MT overpull - negative - 20"" casing differential stuck. String movement < 50 cm. Set down 50 MT weight. Installed split bowl and set casing in slips. Discussed situation, decided to attempt making up TDS and displace well from 1,40 sg KCl mud to seawater."
15/9-F-13,"while RIH with 20"" casing there was a differential stuck. The mud was replaced to seawater and 300 m3 of seawater was pumped, Set down weight was increased and string came free",2,15_9_F_10_2009_04_18.pdf,0.7782,0.6417,41.1153,0.0,0.6,Attempted to free string while circulating at 2000 lpm. Set down / overpull 60/60 MT. Increased set down weight to 80 MT and observed string comming free. Took up/down weights 270/22 0 MT. Cummulative volume of seawater pumped ~300 m3.
15/9-F-13,"while RIH with 20"" casing there was a differential stuck. The mud was replaced to seawater and 300 m3 of seawater was pumped, Set down weight was increased and string came free",3,15_9_F_14_2007_12_12.pdf,0.6619,0.7038,20.2832,0.0,0.4,"Continued RIH with 20"" casing on landing string from 965 m to 1065 m. Washed down last 10 m 440 lpm / 38 bar. Upweight 188 MT/ down weight 138 MT."
