,CEMENT,CIRCULATE,CUT,DISPLACE,DRILL,EQUIPMENT_FAILURE,FISHING,PRESSURE_TEST,PUMP,REPAIR,SURVEY,TRIP_IN,TRIP_OUT,WAIT
CEMENT,8674,2662,91,1116,1429,178,106,647,2785,1128,91,746,1054,887
CIRCULATE,2662,18573,180,2736,4849,544,144,300,4983,1289,915,1354,1361,395
CUT,91,180,3838,18,634,241,105,54,185,462,42,620,397,17
DISPLACE,1116,2736,18,3105,425,60,1,82,1639,150,12,278,301,45
DRILL,1429,4849,634,425,19399,809,165,166,2351,1977,1518,2176,2292,304
EQUIPMENT_FAILURE,178,544,241,60,809,4215,72,195,507,733,111,435,640,129
FISHING,106,144,105,1,165,72,2998,13,132,456,33,682,734,69
PRESSURE_TEST,647,300,54,82,166,195,13,2312,709,318,25,118,113,29
PUMP,2785,4983,185,1639,2351,507,132,709,12283,1470,612,632,1628,300
REPAIR,1128,1289,462,150,1977,733,456,318,1470,21837,340,2399,2052,747
SURVEY,91,915,42,12,1518,111,33,25,612,340,3144,320,445,66
TRIP_IN,746,1354,620,278,2176,435,682,118,632,2399,320,17393,1650,205
TRIP_OUT,1054,1361,397,301,2292,640,734,113,1628,2052,445,1650,16913,317
WAIT,887,395,17,45,304,129,69,29,300,747,66,205,317,3360
