doc_id,rank,keyword,tfidf_score
15_9_19_A_1997_07_25.pdf,1,whipstock,0.49411
15_9_19_A_1997_07_25.pdf,2,associated,0.483041
15_9_19_A_1997_07_25.pdf,3,bha tih,0.456644
15_9_19_A_1997_07_25.pdf,4,baker,0.38859
15_9_19_A_1997_07_25.pdf,5,tih,0.373477
15_9_19_A_1997_07_25.pdf,6,bha,0.153349
15_9_19_A_1997_07_26.pdf,1,whipstock,0.314846
15_9_19_A_1997_07_26.pdf,2,window,0.228455
15_9_19_A_1997_07_26.pdf,3,milling,0.222807
15_9_19_A_1997_07_26.pdf,4,through window,0.204346
15_9_19_A_1997_07_26.pdf,5,pumped vis,0.17083
15_9_19_A_1997_07_26.pdf,6,vis pill,0.170019
15_9_19_A_1997_07_26.pdf,7,tih,0.167129
15_9_19_A_1997_07_26.pdf,8,associated,0.153371
15_9_19_A_1997_07_26.pdf,9,baker,0.152929
15_9_19_A_1997_07_26.pdf,10,vis,0.150331
15_9_19_A_1997_07_26.pdf,11,rotate string,0.150271
15_9_19_A_1997_07_26.pdf,12,now,0.150271
15_9_19_A_1997_07_26.pdf,13,milled,0.150271
15_9_19_A_1997_07_26.pdf,14,weight reamed,0.147498
15_9_19_A_1997_07_26.pdf,15,without,0.146726
15_9_19_A_1997_07_27.pdf,1,yellow pod,0.175146
15_9_19_A_1997_07_27.pdf,2,yellow,0.175146
15_9_19_A_1997_07_27.pdf,3,through window,0.173273
15_9_19_A_1997_07_27.pdf,4,freed,0.17132
15_9_19_A_1997_07_27.pdf,5,pod,0.166583
15_9_19_A_1997_07_27.pdf,6,milling,0.150942
15_9_19_A_1997_07_27.pdf,7,window,0.148502
15_9_19_A_1997_07_27.pdf,8,pooh milling,0.144584
15_9_19_A_1997_07_27.pdf,9,while pulling,0.141624
15_9_19_A_1997_07_27.pdf,10,checked pumped,0.138034
15_9_19_A_1997_07_27.pdf,11,past,0.134867
15_9_19_A_1997_07_27.pdf,12,tih,0.132461
15_9_19_A_1997_07_27.pdf,13,tested bops,0.130253
15_9_19_A_1997_07_27.pdf,14,pilot,0.124981
15_9_19_A_1997_07_27.pdf,15,damaged,0.113399
15_9_19_A_1997_07_28.pdf,1,milling,0.253033
15_9_19_A_1997_07_28.pdf,2,milling bha,0.24049
15_9_19_A_1997_07_28.pdf,3,bha tih,0.24049
15_9_19_A_1997_07_28.pdf,4,whipstock,0.237969
15_9_19_A_1997_07_28.pdf,5,flowchecked pumped,0.22373
15_9_19_A_1997_07_28.pdf,6,bridge plug,0.218991
15_9_19_A_1997_07_28.pdf,7,pooh milling,0.214692
15_9_19_A_1997_07_28.pdf,8,bridge,0.20465
15_9_19_A_1997_07_28.pdf,9,tih,0.196691
15_9_19_A_1997_07_28.pdf,10,through window,0.193411
15_9_19_A_1997_07_28.pdf,11,plug set,0.178128
15_9_19_A_1997_07_28.pdf,12,plug pumped,0.165064
15_9_19_A_1997_07_28.pdf,13,decrease,0.165064
15_9_19_A_1997_07_28.pdf,14,window,0.164581
15_9_19_A_1997_07_28.pdf,15,milled,0.161727
15_9_19_A_1997_07_29.pdf,1,whipstock,0.437658
15_9_19_A_1997_07_29.pdf,2,window,0.274319
15_9_19_A_1997_07_29.pdf,3,milled,0.25891
15_9_19_A_1997_07_29.pdf,4,tih,0.232321
15_9_19_A_1997_07_29.pdf,5,rate approx,0.218082
15_9_19_A_1997_07_29.pdf,6,reverse,0.218082
15_9_19_A_1997_07_29.pdf,7,bar drilled,0.195434
15_9_19_A_1997_07_29.pdf,8,baker,0.171509
15_9_19_A_1997_07_29.pdf,9,anchor,0.170074
15_9_19_A_1997_07_29.pdf,10,plugged,0.166079
15_9_19_A_1997_07_29.pdf,11,drillstring,0.163639
15_9_19_A_1997_07_29.pdf,12,new formation,0.150005
15_9_19_A_1997_07_29.pdf,13,formation,0.149717
15_9_19_A_1997_07_29.pdf,14,rate,0.147976
15_9_19_A_1997_07_29.pdf,15,using,0.139932
15_9_19_A_1997_07_30.pdf,1,window,0.204469
15_9_19_A_1997_07_30.pdf,2,through window,0.19742
15_9_19_A_1997_07_30.pdf,3,tih,0.176563
15_9_19_A_1997_07_30.pdf,4,bha tih,0.17362
15_9_19_A_1997_07_30.pdf,5,milling bha,0.17362
15_9_19_A_1997_07_30.pdf,6,milling,0.161811
15_9_19_A_1997_07_30.pdf,7,whipstock,0.151568
15_9_19_A_1997_07_30.pdf,8,repaired same,0.148173
15_9_19_A_1997_07_30.pdf,9,above top,0.148173
15_9_19_A_1997_07_30.pdf,10,bar flushed,0.148173
15_9_19_A_1997_07_30.pdf,11,tool face,0.148173
15_9_19_A_1997_07_30.pdf,12,rotation circulation,0.148173
15_9_19_A_1997_07_30.pdf,13,drilline,0.148173
15_9_19_A_1997_07_30.pdf,14,flushed choke,0.142499
15_9_19_A_1997_07_30.pdf,15,finished,0.140137
15_9_19_A_1997_07_31.pdf,1,oriented drilled,0.512251
15_9_19_A_1997_07_31.pdf,2,drilled oriented,0.507696
15_9_19_A_1997_07_31.pdf,3,oriented,0.432085
15_9_19_A_1997_07_31.pdf,4,drilled,0.263044
15_9_19_A_1997_07_31.pdf,5,azimuth,0.24409
15_9_19_A_1997_07_31.pdf,6,circulated clean,0.236212
15_9_19_A_1997_07_31.pdf,7,turn,0.184498
15_9_19_A_1997_07_31.pdf,8,clean,0.162128
15_9_19_A_1997_07_31.pdf,9,circulated,0.139331
15_9_19_A_1997_07_31.pdf,10,problems,0.128419
15_9_19_A_1997_07_31.pdf,11,continue,0.111127
15_9_19_A_1997_08_01.pdf,1,directional,0.221874
15_9_19_A_1997_08_01.pdf,2,degrees,0.208553
15_9_19_A_1997_08_01.pdf,3,note,0.196904
15_9_19_A_1997_08_01.pdf,4,turn right,0.185545
15_9_19_A_1997_08_01.pdf,5,preparation,0.18162
15_9_19_A_1997_08_01.pdf,6,gyro,0.176795
15_9_19_A_1997_08_01.pdf,7,right,0.167992
15_9_19_A_1997_08_01.pdf,8,ako motor,0.167503
15_9_19_A_1997_08_01.pdf,9,gyro survey,0.163475
15_9_19_A_1997_08_01.pdf,10,trying,0.16177
15_9_19_A_1997_08_01.pdf,11,insert,0.161545
15_9_19_A_1997_08_01.pdf,12,azimuth,0.153127
15_9_19_A_1997_08_01.pdf,13,pass through,0.149697
15_9_19_A_1997_08_01.pdf,14,memory mwd,0.149697
15_9_19_A_1997_08_01.pdf,15,toh,0.149697
15_9_19_A_1997_08_02.pdf,1,window,0.150673
15_9_19_A_1997_08_02.pdf,2,would,0.13911
15_9_19_A_1997_08_02.pdf,3,packed off,0.132474
15_9_19_A_1997_08_02.pdf,4,entry sub,0.122763
15_9_19_A_1997_08_02.pdf,5,gyro,0.122207
15_9_19_A_1997_08_02.pdf,6,packed,0.120806
15_9_19_A_1997_08_02.pdf,7,lost,0.119768
15_9_19_A_1997_08_02.pdf,8,drillstring,0.118118
15_9_19_A_1997_08_02.pdf,9,entry,0.116467
15_9_19_A_1997_08_02.pdf,10,side entry,0.116467
15_9_19_A_1997_08_02.pdf,11,drilled sliding,0.114579
15_9_19_A_1997_08_02.pdf,12,max weight,0.114579
15_9_19_A_1997_08_02.pdf,13,then,0.113445
15_9_19_A_1997_08_02.pdf,14,worked string,0.112055
15_9_19_A_1997_08_02.pdf,15,finally,0.111691
15_9_19_A_1997_08_03.pdf,1,through window,0.172284
15_9_19_A_1997_08_03.pdf,2,continued tih,0.172284
15_9_19_A_1997_08_03.pdf,3,tih,0.16669
15_9_19_A_1997_08_03.pdf,4,bar tested,0.163466
15_9_19_A_1997_08_03.pdf,5,window,0.142215
15_9_19_A_1997_08_03.pdf,6,completed pooh,0.140816
15_9_19_A_1997_08_03.pdf,7,cavings,0.129509
15_9_19_A_1997_08_03.pdf,8,test tool,0.126407
15_9_19_A_1997_08_03.pdf,9,pod,0.116321
15_9_19_A_1997_08_03.pdf,10,control room,0.115984
15_9_19_A_1997_08_03.pdf,11,tendency,0.110527
15_9_19_A_1997_08_03.pdf,12,lpm after,0.110527
15_9_19_A_1997_08_03.pdf,13,excessive amount,0.110527
15_9_19_A_1997_08_03.pdf,14,tool wellhead,0.110527
15_9_19_A_1997_08_03.pdf,15,without pumping,0.110527
15_9_19_A_1997_08_04.pdf,1,through window,0.276241
15_9_19_A_1997_08_04.pdf,2,window,0.241851
15_9_19_A_1997_08_04.pdf,3,rotation circulation,0.207332
15_9_19_A_1997_08_04.pdf,4,unusual,0.207332
15_9_19_A_1997_08_04.pdf,5,oriented,0.207252
15_9_19_A_1997_08_04.pdf,6,stand drilled,0.203141
15_9_19_A_1997_08_04.pdf,7,drilled oriented,0.195847
15_9_19_A_1997_08_04.pdf,8,motor mwd,0.192906
15_9_19_A_1997_08_04.pdf,9,amount cuttings,0.187421
15_9_19_A_1997_08_04.pdf,10,mwd rih,0.18267
15_9_19_A_1997_08_04.pdf,11,insert,0.180513
15_9_19_A_1997_08_04.pdf,12,toolface,0.176556
15_9_19_A_1997_08_04.pdf,13,amount,0.168244
15_9_19_A_1997_08_04.pdf,14,last stand,0.165396
15_9_19_A_1997_08_04.pdf,15,slick,0.162759
15_9_19_A_1997_08_05.pdf,1,short,0.23737
15_9_19_A_1997_08_05.pdf,2,boosted,0.191668
15_9_19_A_1997_08_05.pdf,3,boosted riser,0.191668
15_9_19_A_1997_08_05.pdf,4,bha change,0.186094
15_9_19_A_1997_08_05.pdf,5,bit bha,0.178435
15_9_19_A_1997_08_05.pdf,6,oriented drilled,0.165065
